word	pronunciation
կրոնագիտություն	k ə ɾ o n ɑ ɡ i t u ˈ t ʰ j u n
կրոնական	k ə ɾ o n ɑ ˈ k ɑ n
կրոնավոր	k ɾ o n ɑ ˈ v o ɾ
կրպակ	k ə ɾ ˈ p ɑ k
կրտսեր	k ə ɾ t ˈ s e ɾ
կրուասան	k ɾ u ɑ ˈ s ɑ n
կրունկ	k ə ˈ ɾ u n k
կցաղետապ	k ə t ͡ s ʰ ɑ ʁ e ˈ t ɑ p
կցել	k ə ˈ t ͡ s ʰ e l
կցորդ	k ə ˈ t ͡ s ʰ o ɾ t ʰ
կցորդիչ	k ə t ͡ s ʰ o ɾ ˈ t ʰ i t ͡ ʃ ʰ
կցորդում	k ə t ͡ s ʰ o ɾ ˈ t ʰ u m
Կուալա Լումպուր	k u ˌ ɑ ˈ l ɑ   ˈ l u m p u ɾ
Կուբա	ˈ k u b ɑ
կուզ	k u z
կուզեկուզ	k u z e ˈ k u z
կուզիկ	k u ˈ z i k
կութ	k u t ʰ
կուժ	k u ʒ
կուլ	k u l
կուլ տալ	k u l   t ɑ l
կուլակ	k u ˈ l ɑ k
կուլմինացիա	k u l m i ˈ n ɑ t ͡ s ʰ i ɑ
կուլտուրա	k u l t u ˈ ɾ ɑ
կուլտուրական	k u l t u ɾ ɑ ˈ k ɑ n
կուխնի	k u χ ˈ n i
Կուկըլ	ˈ k u k ə l
կուկուռուզ	k u k u ˈ r u z
կուղ	k u ʁ
կուղբ	k u ʁ b
կուղխ	k u χ χ
կումբ	k u m b
կումիս	k u ˈ m i s
Կույբիշև	k u j b i ˈ ʃ e v
կույս	k u j s
Կույս	k u j s
կույտ	k u j t
կույր	k u j ɾ
կույր աղիք	k u j ɾ   ɑ ˈ ʁ i k ʰ
Կույումջյան	k u j u m ˈ d ͡ ʒ j ɑ n
կունձի	k u n ˈ d ͡ z i
Կունջիյան	k u n d ͡ ʒ i ˈ j ɑ n
կուշտ	k u ʃ t
կուչ	k u t ͡ ʃ ʰ
կուպերյան գեղձ	k u p e ˈ ɾ j ɑ n   ɡ e ʁ d ͡ z
կուպր	ˈ k u p ə ɾ
կուռ	k u r
կուռք	k u r k ʰ
կուսաթաղանթ	k u s ɑ t ʰ ɑ ˈ ʁ ɑ n t ʰ
կուսակցություն	k u s ɑ k t ͡ s ʰ u ˈ t ʰ j u n
կուսաշկա	k u s ɑ ʃ ˈ k ɑ
կուսաչկա	k u s ɑ t ͡ ʃ ʰ ˈ k ɑ
կուսաչկի	k u s ɑ t ͡ ʃ ʰ ˈ k i
կուսություն	k u s u ˈ t ʰ j u n
կուտ	k u t
կուտակել	k u t ɑ ˈ k e l
կուտակվել	k u t ɑ k ˈ v e l
կուտիկ	k u ˈ t i k
Կուր	k u ɾ
կուր	k u ɾ
կուրաղետապ	k u ɾ ɑ ʁ e ˈ t ɑ p
կուրաղի	k u ɾ ɑ ˈ ʁ i
կուրանալ	k u ɾ ɑ ˈ n ɑ l
Կուրգան	k u ɾ ˈ ɡ ɑ n
Կուրիլյան կղզիներ	k u ɾ i ˈ l j ɑ n   k ə ʁ z i ˈ n e ɾ
կուրծ	k u ɾ t ͡ s
կուրծք	k u ɾ t ͡ s k ʰ
կուրչատովիում	k u ɾ t ͡ ʃ ʰ ɑ t o v i ˈ j u m
կուրս	k u ɾ s
Կուրսկ	k u ɾ s k
կուրություն	k u ɾ u ˈ t ʰ j u n
կուց	k u t ͡ s ʰ
կքել	k ə ˈ k ʰ e l
Հ	h ə
հ	h ə
հա	h ɑ
Հաագա	h ɑ ˈ ɑ ɡ ɑ
հաբ	h ɑ b
Հաբեշստան	h ɑ b e ʃ ˈ s ˈ t ɑ n
Հաբսբուրգ	ˈ h ɑ b s b u ɾ ɡ
հաբրբան	h ɑ b ə ɾ ˈ b ɑ n
հագագ	h ɑ ˈ ɡ ɑ ɡ
հագարացի	h ɑ ɡ ɑ ɾ ɑ ˈ t ͡ s ʰ i
հագել	h ɑ ˈ ɡ e l
հագենալ	h ɑ ɡ e ˈ n ɑ l
հագեցնել	h ɑ ɡ e t ͡ s ʰ ˈ n e l
հագնել	h ɑ k ʰ ˈ n e l
հագնի	h ɑ k ʰ ˈ n i
հագնվել	h ɑ k ʰ n ə ˈ v e l
հագչել	h ɑ k ʰ ˈ t ͡ ʃ ʰ e l
հագցնել	h ɑ k ʰ t ͡ s ʰ ( ə ) ˈ n e l
հագուստ	h ɑ ˈ k ʰ u s t
Հադես	h ɑ ˈ d e s
հադրոն	h ɑ d ˈ ɾ o n
հազ	h ɑ z
հազալ	h ɑ ˈ z ɑ l
հազար	h ɑ ˈ z ɑ ɾ
հազար եռիլիոն	h ɑ ˈ z ɑ ɾ   j e r i ˈ l j o n
հազար երկիլիոն	h ɑ ˈ z ɑ ɾ   j e ɾ k i ˈ l j o n
հազար միլիոն	h ɑ ˈ z ɑ ɾ   m i ˈ l j o n
հազար քառիլիոն	h ɑ ˈ z ɑ ɾ   k ʰ ɑ r i ˈ l j o n
հազարամյակ	h ɑ z ɑ ɾ ɑ ˈ m j ɑ k
հազարապետ	h ɑ z ɑ ɾ ɑ ˈ p e t
հազարավոր	h ɑ z ɑ ɾ ɑ ˈ v o ɾ
հազարերորդ	h ɑ ˈ z ɑ ɾ e ɾ o ɾ t ʰ
հազել	h ɑ ˈ z e l
հազիվ	h ɑ ˈ z i v
Հազկերտ	h ɑ z ˈ k e ɾ t
հազվագյուտ	h ɑ z v ɑ ˈ ɡ j u t
հազվադեպ	h ɑ z v ɑ ˈ d e p
հաթ	h ɑ t ʰ
հաթաթա	h ɑ t ʰ ɑ ˈ t ʰ ɑ
հաթյան	h ɑ ˈ t ʰ j ɑ n
հալալ	h ɑ ˈ l ɑ l
հալած	h ɑ ˈ l ɑ t ͡ s
հալած պանիր	h ɑ ˈ l ɑ t ͡ s   p ɑ ˈ n i ɾ
հալածանք	h ɑ l ɑ ˈ t ͡ s ɑ n k ʰ
հալածել	h ɑ l ɑ ˈ t ͡ s e l
հալավ	h ɑ ˈ l ɑ v
հալել	h ɑ ˈ l e l
Հալեպ	h ɑ ˈ l e p
Հալեպյան	h ɑ l e ˈ p j ɑ n
Հալըճյան	h ɑ l ə ˈ t ͡ ʃ j ɑ n
Հալիկառնաս	h ɑ l i k ɑ r ˈ n ɑ s
Հալլեյ	h ɑ l ˈ l e j
հալոգեն	h ɑ l o ˈ ɡ e n
հալոց	h ɑ ˈ l o t ͡ s ʰ
հալվա	h ɑ l ˈ v ɑ
Հալվաճյան	h ɑ l v ɑ ˈ t ͡ ʃ j ɑ n
Հալվաջյան	h ɑ l v ɑ ˈ d ͡ ʒ j ɑ n
հալվե	h ɑ l ˈ v e
հալումաշ	h ɑ l u ˈ m ɑ ʃ
հախճապակի	h ɑ χ t ͡ ʃ ɑ p ɑ ˈ k i
հածանավ	h ɑ t ͡ s ɑ ˈ n ɑ v
հածել	h ɑ ˈ t ͡ s e l
ՀԱԿ	h ɑ k
հակ	h ɑ k
հակ-	h ɑ k
հակա-	h ɑ ˈ k ɑ
հակագրոհ	h ɑ k ɑ ɡ ə ˈ ɾ o h
հակազդել	h ɑ k ɑ z ˈ d e l
հակաթույն	h ɑ k ɑ ˈ t ʰ u j n
հակածխախոտային	h ɑ k ɑ t ͡ s ə χ ɑ χ o t ɑ ˈ j i n
հակահարձակում	h ɑ k ɑ h ɑ ɾ t ͡ s ʰ ɑ ˈ k u m
հակահարված	h ɑ k ɑ h ɑ ɾ ˈ v ɑ t ͡ s
հակահեղափոխական	h ɑ k ɑ h e ʁ ɑ p ʰ o χ ɑ ˈ k ɑ n
հակահեղափոխություն	h ɑ k ɑ h e ʁ ɑ p ʰ o χ u ˈ t ʰ j u n
հակահերետիկոսական	h ɑ k ɑ h e ɾ e t i k o s ɑ ˈ k ɑ n
հակահերոս	h ɑ k ɑ h e ˈ ɾ o s
հակաճառություն	h ɑ k ɑ t ͡ ʃ ɑ r u ˈ t ʰ j u n
հակաճիճվային	h ɑ k ɑ t ͡ ʃ i t ͡ ʃ v ɑ ˈ j i n
հակամակարդիչ	h ɑ k ɑ m ɑ k ɑ ɾ ˈ d i t ͡ ʃ ʰ
հակամասնիկ	h ɑ k ɑ m ɑ s ˈ n i k
հականեխիչ	h ɑ k ɑ n e ˈ χ i t ͡ ʃ ʰ
հականիշ	h ɑ k ɑ ˈ n i ʃ
հակապապ	h ɑ k ɑ ˈ p ɑ p
հակապատմական	h ɑ k ɑ p ɑ t m ɑ ˈ k ɑ n
հակառակ	h ɑ k ɑ ˈ r ɑ k
հակառեյտինգ	h ɑ k ɑ r e j ˈ t i n ɡ
հակառուսականություն	h ɑ k ɑ r u s ɑ k ɑ n u ˈ t ʰ j u n
հակասական	h ɑ k ɑ s ɑ ˈ k ɑ n
հակասեմական	h ɑ k ɑ s e m ɑ ˈ k ɑ n
հակասեմականություն	h ɑ k ɑ s e m ɑ k ɑ n u ˈ t ʰ j u n
հակասեմիտականություն	h ɑ k ɑ s e m i t ɑ k ɑ n u ˈ t ʰ j u n
հակաօդային	h ɑ k ɑ o t ʰ ɑ ˈ j i n
հակաօսմանյան	h ɑ k ɑ o s m ɑ ˈ n j ɑ n
հակել	h ɑ ˈ k e l
հակինթ	h ɑ ˈ k i n t ʰ
հակիրճ	h ɑ ˈ k i ɾ t ͡ ʃ
Հակոբ	h ɑ ˈ k o p ʰ
հակոբիկ	h ɑ k o ˈ p ʰ i k
Հակոբյան	h ɑ k o ˈ p ʰ j ɑ n
հակվել	h ɑ k ˈ v e l
ՀԱՀ	h ɑ h
հաղագս	h ɑ ˈ ʁ ɑ ɡ ə s
հաղարջ	h ɑ ˈ ʁ ɑ ɾ d ͡ ʒ
հաղարջենի	h ɑ ʁ ɑ ɾ d ͡ ʒ e ˈ n i
հաղբ	h ɑ ʁ b
հաղթ	h ɑ χ t ʰ
հաղթաթուղթ	h ɑ χ t ʰ ɑ ˈ t ʰ u χ t ʰ
հաղթակամար	h ɑ χ t ʰ ɑ k ɑ ˈ m ɑ ɾ
հաղթական	h ɑ χ t ʰ ɑ ˈ k ɑ n
հաղթամարմին	h ɑ χ t ʰ ɑ m ɑ ɾ ˈ m i n
հաղթանակ	h ɑ χ t ʰ ɑ ˈ n ɑ k
հաղթել	h ɑ χ ˈ t ʰ e l
հաղթող	h ɑ χ ˈ t ʰ o ʁ
հաղթու	h ɑ χ ˈ t ʰ u
հաղորդագրություն	h ɑ ʁ o ɾ t ʰ ɑ ɡ ɾ u ˈ t ʰ j u n
հաղորդակցություն	h ɑ ʁ o ɾ t ʰ ɑ k t ͡ s ʰ u ˈ t ʰ j u n
հաղորդավար	h ɑ ʁ o ɾ t ʰ ɑ ˈ v ɑ ɾ
հաղորդել	h ɑ ʁ o ɾ ˈ t ʰ e l
հաղորդիչ	h ɑ ʁ o ɾ ˈ t ʰ i t ͡ ʃ ʰ
հաղորդում	h ɑ ʁ o ɾ ˈ t ʰ u m
հաճ	h ɑ t ͡ ʃ
հաճախ	h ɑ ˈ t ͡ ʃ ɑ χ
հաճախակի	h ɑ t ͡ ʃ ɑ χ ɑ ˈ k i
հաճախակի տրվող հարցեր	h ɑ t ͡ ʃ ɑ χ ɑ ˈ k i   t ə ɾ ˈ v o ʁ   h ɑ ɾ ˈ t ͡ s ʰ e ɾ
հաճախել	h ɑ t ͡ ʃ ɑ ˈ χ e l
հաճախելիություն	h ɑ t ͡ ʃ ɑ χ e l i u ˈ t ʰ j u n
հաճախեցնել	h ɑ t ͡ ʃ ɑ χ e t ͡ s ʰ ˈ n e l
հաճախորդ	h ɑ t ͡ ʃ ɑ ˈ χ o ɾ t ʰ
հաճախորդամետ	h ɑ t ͡ ʃ ɑ χ o ɾ t ʰ ɑ ˈ m e t
հաճախորդություն	h ɑ t ͡ ʃ ɑ χ o ɾ t ʰ u ˈ t ʰ j u n
հաճախորդուհի	h ɑ t ͡ ʃ ɑ χ o ɾ t ʰ u ˈ h i
հաճախություն	h ɑ t ͡ ʃ ɑ χ u ˈ t ʰ j u n
հաճախում	h ɑ t ͡ ʃ ɑ ˈ χ u m
հաճար	h ɑ ˈ t ͡ ʃ ɑ ɾ
հաճարենի	h ɑ t ͡ ʃ ɑ ɾ e ˈ n i
հաճարի	h ɑ t ͡ ʃ ɑ ˈ ɾ i
հաճել	h ɑ ˈ t ͡ ʃ e l
հաճելի	h ɑ t ͡ ʃ e ˈ l i
հաճիլ	h ɑ ˈ t ͡ ʃ i l
հաճիս	h ɑ ˈ t ͡ ʃ i s
Հաճճարյան	h ɑ t ͡ ʃ t ͡ ʃ ɑ ˈ ɾ j ɑ n
հաճո	h ɑ ˈ t ͡ ʃ o
հաճոյախոսել	h ɑ t ͡ ʃ o j ɑ χ o ˈ s e l
հաճություն	h ɑ t ͡ ʃ u ˈ t ʰ j u n
հաճույք	h ɑ ˈ t ͡ ʃ u j k ʰ
համ	h ɑ m
համ-	h ɑ m
Համա	h ɑ ˈ m ɑ
համա-	h ɑ ˈ m ɑ
համագործակցել	h ɑ m ɑ ɡ o ɾ t ͡ s ɑ k ˈ t ͡ s ʰ e l
համագործակցության	h ɑ m ɑ ɡ o ɾ t ͡ s ɑ k t ͡ s ʰ u ˈ t ʰ j ɑ n
համագործակցություն	h ɑ m ɑ ɡ o ɾ t ͡ s ɑ k t ͡ s ʰ u ˈ t ʰ j u n
համագործել	h ɑ m ɑ ɡ o ɾ ˈ t ͡ s e l
համագործություն	h ɑ m ɑ ɡ o ɾ t ͡ s u ˈ t ʰ j u n
համագումար	h ɑ m ɑ ɡ u ˈ m ɑ ɾ
համագույն	h ɑ m ɑ ˈ ɡ u j n
Համադան	h ɑ m ɑ ˈ d ɑ n
համադարման	h ɑ m ɑ d ɑ ɾ ˈ m ɑ n
համադրություն	h ɑ m ɑ d ( ə ) ɾ u ˈ t ʰ j u n
համադրույթ	h ɑ m ɑ d ə ˈ ɾ u j t ʰ
Համազասպ	h ɑ m ɑ ˈ z ɑ s p
համազգային	h ɑ m ɑ z ɡ ɑ ˈ j i n
համազգեստ	h ɑ m ɑ z ˈ ɡ e s t
համաժամանակյա	h ɑ m ɑ ʒ ɑ m ɑ n ɑ ˈ k j ɑ
համաժողով	h ɑ m ɑ ʒ o ˈ ʁ o v
համալ	h ɑ ˈ m ɑ l
համալիր	h ɑ m ɑ ˈ l i ɾ
Համալյան	h ɑ m ɑ ˈ l j ɑ n
համալսարան	h ɑ m ɑ l s ɑ ˈ ɾ ɑ n
համալրել	h ɑ m ɑ l ˈ ɾ e l
համախմբել	h ɑ m ɑ χ ə m ˈ b e l
համախոհ	h ɑ m ɑ ˈ χ o h
համախտանիշ	h ɑ m ɑ χ t ɑ ˈ n i ʃ
համակատար դերբայ	h ɑ m ɑ k ɑ ˈ t ɑ ɾ   d e ɾ ˈ b ɑ j
համակարգ	h ɑ m ɑ ˈ k ɑ ɾ k ʰ
համակարգային	h ɑ m ɑ k ɑ ɾ k ʰ ɑ ˈ j i n
համակարգել	h ɑ m ɑ k ɑ ɾ ˈ k ʰ e l
համակարգիչ	h ɑ m ɑ k ɑ ɾ ˈ k ʰ i t ͡ ʃ ʰ
համակարգող	h ɑ m ɑ k ɑ ɾ ˈ k ʰ o ʁ
համակարգչային	h ɑ m ɑ k ɑ ɾ k ʰ t ͡ ʃ ʰ ɑ ˈ j i n
համակարգչային վիրուս	h ɑ m ɑ k ɑ ɾ k ʰ t ͡ ʃ ʰ ɑ ˈ j i n   v i ˈ ɾ u s
համակրանք	h ɑ m ɑ k ˈ ɾ ɑ n k ʰ
համակրել	h ɑ m ɑ k ˈ ɾ e l
համակրելի	h ɑ m ɑ k ɾ e ˈ l i
համահայկական	h ɑ m ɑ h ɑ j k ɑ ˈ k ɑ n
համահիմնադիր	h ɑ m ɑ h i m n ɑ ˈ d i ɾ
համաձայն	h ɑ m ɑ ˈ d ͡ z ɑ j n
համաձայնել	h ɑ m ɑ d ͡ z ɑ j ˈ n e l
համաձուլվածք	h ɑ m ɑ d ͡ z u l ˈ v ɑ t ͡ s k ʰ
համաճարակ	h ɑ m ɑ t ͡ ʃ ɑ ˈ ɾ ɑ k
համամարդկային	h ɑ m ɑ m ɑ ɾ t ʰ k ɑ ˈ j i n
համամիութենական	h ɑ m ɑ m i u t ʰ e n ɑ ˈ k ɑ n
Համամճյան	h ɑ m ɑ m ˈ t ͡ ʃ j ɑ n
Համամչյան	h ɑ m ɑ m ˈ t ͡ ʃ ʰ j ɑ n
Համամջյան	h ɑ m ɑ m ˈ d ͡ ʒ j ɑ n
համայնավարություն	h ɑ m ɑ j n ɑ v ɑ ɾ u ˈ t ʰ j u n
համայնք	h ɑ ˈ m ɑ j n k ʰ
համայնքապետ	h ɑ m ɑ j n k ʰ ɑ ˈ p e t
համանախագահ	h ɑ m ɑ n ɑ χ ɑ ˈ ɡ ɑ h
համաներում	h ɑ m ɑ n e ˈ ɾ u m
համանուն	h ɑ m ɑ ˈ n u n
համաշխարհային	h ɑ m ɑ ʃ χ ɑ ɾ ɑ ˈ j i n
Համաշխարհային բանկ	h ɑ m ɑ ʃ χ ɑ ɾ ɑ ˈ j i n   b ɑ n k
համաշխարհային պատերազմ	h ɑ m ɑ ʃ χ ɑ ɾ ɑ ˈ j i n   p ɑ t e ˈ ɾ ɑ z m
համաշխարհաքաղաքացի	h ɑ m ɑ ʃ χ ɑ ɾ ɑ k ʰ ɑ ʁ ɑ k ʰ ɑ ˈ t ͡ s ʰ i
համաչափ	h ɑ m ɑ ˈ t ͡ ʃ ʰ ɑ p ʰ
համապատասխան	h ɑ m ɑ p ɑ t ɑ s ˈ χ ɑ n
համապատասխանել	h ɑ m ɑ p ɑ t ɑ s χ ɑ ˈ n e l
համառ	h ɑ ˈ m ɑ r
համառել	h ɑ m ɑ ˈ r e l
համառոտ	h ɑ m ɑ ˈ r o t
համառոտաբար	h ɑ m ɑ r o t ɑ ˈ b ɑ ɾ
համասեռահակություն	h ɑ m ɑ s e r ɑ h ɑ k u ˈ t ʰ j u n
համասեռամոլ	h ɑ m ɑ s e r ɑ ˈ m o l
համասեռամոլություն	h ɑ m ɑ s e r ɑ m o l u ˈ t ʰ j u n
Համասյան	h ɑ m ɑ ˈ s j ɑ n
համաստեղություն	h ɑ m ɑ s t e ʁ u ˈ t ʰ j u n
համավարակ	h ɑ m ɑ v ɑ ˈ ɾ ɑ k
համատարած	h ɑ m ɑ t ɑ ˈ ɾ ɑ t ͡ s
համատեղ	h ɑ m ɑ ˈ t e ʁ
համատեղելի	h ɑ m ɑ t e ʁ e ˈ l i
համատեքստ	h ɑ m ɑ ˈ t e k ʰ s t
համատիրություն	h ɑ m ɑ t i ɾ u ˈ t ʰ j u n
համար	h ɑ ˈ m ɑ ɾ
համարակար	h ɑ m ɑ ɾ ɑ ˈ k ɑ ɾ
համարել	h ɑ m ɑ ˈ ɾ e l
համարժեք	h ɑ m ɑ ɾ ˈ ʒ e k ʰ
համարիչ	h ɑ m ɑ ˈ ɾ i t ͡ ʃ ʰ
համարձակվել	h ɑ m ɑ ɾ t ͡ s ʰ ɑ k ˈ v e l
համարյա	h ɑ m ɑ ˈ ɾ j ɑ
համացանց	h ɑ m ɑ ˈ t ͡ s ʰ ɑ n t ͡ s ʰ
համացանցային	h ɑ m ɑ t ͡ s ʰ ɑ n t ͡ s ʰ ɑ ˈ j i n
համաքաղաքացի	h ɑ m ɑ k ʰ ɑ ʁ ɑ k ʰ ɑ ˈ t ͡ s ʰ i
համբալ	h ɑ m ˈ b ɑ l
համբավ	h ɑ m ˈ b ɑ v
համբավավոր	h ɑ m b ɑ v ɑ ˈ v o ɾ
համբար	h ɑ m ˈ b ɑ ɾ
համբարձում	h ɑ m b ɑ ɾ ˈ t ͡ s ʰ u m
Համբարձում	h ɑ m b ɑ ɾ ˈ t ͡ s ʰ u m
Համբարձումյան	h ɑ m b ɑ ɾ t ͡ s ʰ u ˈ m j ɑ n
համբերատար	h ɑ m p ʰ e ɾ ɑ ˈ t ɑ ɾ
համբերել	h ɑ m p ʰ e ˈ ɾ e l
համբերություն	h ɑ m p ʰ e ɾ u ˈ t ʰ j u n
համբյուր	h ɑ m ˈ p ʰ j u ɾ
համբյուրել	h ɑ m p ʰ j u ˈ ɾ e l
համբույր	h ɑ m ˈ p ʰ u j ɾ
Համբուրգ	h ɑ m ˈ b u ɾ ɡ
համբուրել	h ɑ m p ʰ u ˈ ɾ e l
համբուրվել	h ɑ m p ʰ u ɾ ˈ v e l
համել	h ɑ ˈ m e l
համեղ	h ɑ ˈ m e ʁ
համեմատ	h ɑ m e ˈ m ɑ t
համեմատաբար	h ɑ m e m ɑ t ɑ ˈ b ɑ ɾ
համեմատական լեզվաբանություն	h ɑ m e m ɑ t ɑ ˈ k ɑ n   l e z v ɑ b ɑ n u ˈ t ʰ j u n
համեմատել	h ɑ m e m ɑ ˈ t e l
համեմատություն	h ɑ m e m ɑ t u ˈ t ʰ j u n
համեմունք	h ɑ m e ˈ m u n k ʰ
համենալ	h ɑ m e ˈ n ɑ l
համեստ	h ɑ ˈ m e s t
Համեստ	h ɑ ˈ m e s t
համեստաբար	h ɑ m e s t ɑ ˈ b ɑ ɾ
համեստորեն	h ɑ m e s t o ˈ ɾ e n
համեստություն	h ɑ m e s t u ˈ t ʰ j u n
համերաշխ	h ɑ m e ˈ ɾ ɑ ʃ χ
համերաշխություն	h ɑ m e ɾ ɑ ʃ χ u ˈ t ʰ j u n
համերգ	h ɑ ˈ m e ɾ ɡ
համերգասրահ	h ɑ m e ɾ ɡ ɑ s ə ˈ ɾ ɑ h
համեցեք	h ɑ m e ˈ t ͡ s ʰ e k ʰ
համընկնել	h ɑ m ə n k ˈ n e l
Համիլկար	h ɑ m i l ˈ k ɑ ɾ
Համլետ	h ɑ m ˈ l e t
համհարզ	h ɑ m ˈ h ɑ ɾ z
համմե	h ɑ m ˈ m e
համշենցի	h ɑ m ʃ e n ˈ t ͡ s ʰ i
համշենցիներ	h ɑ m ʃ e n t ͡ s ʰ i ˈ n e ɾ
համոզ	h ɑ ˈ m o z
համոզակեր	h ɑ m o z ɑ ˈ k e ɾ
համոզել	h ɑ m o ˈ z e l
համոզիչ	h ɑ m o ˈ z i t ͡ ʃ ʰ
համոզկեր	h ɑ m o z ˈ k e ɾ
համոզմունք	h ɑ m o z ˈ m u n k ʰ
համոզված	h ɑ m o z ˈ v ɑ t ͡ s
համով	h ɑ ˈ m o v
համով-հոտով	h ɑ m o v h o ˈ t o v
Համսուն	h ɑ m ˈ s u n
համր	ˈ h ɑ m ə ɾ
համրել	h ɑ m ˈ ɾ e l
համրիչ	h ɑ m ˈ ɾ i t ͡ ʃ ʰ
համք	h ɑ m k ʰ
հայ	h ɑ j
հայաբնակ	h ɑ j ɑ b ə ˈ n ɑ k
հայագետ	h ɑ j ɑ ˈ ɡ e t
հայագիտական	h ɑ j ɑ ɡ i t ɑ ˈ k ɑ n
հայագիտություն	h ɑ j ɑ ɡ i t u ˈ t ʰ j u n
հայազգի	h ɑ j ɑ z ˈ ɡ i
հայաթ	h ɑ ˈ j ɑ t ʰ
հայաշատ	h ɑ j ɑ ˈ ʃ ɑ t
Հայասա	h ɑ j ɑ ˈ s ɑ
հայասերեն	h ɑ j ɑ s e ˈ ɾ e n
Հայաստան	h ɑ j ɑ s ˈ t ɑ n
Հայաստանի	h ɑ j ɑ s t ɑ ˈ n i
Հայաստանի Հանրապետություն	h ɑ j ɑ s t ɑ ˈ n i   h ɑ n ɾ ɑ p e t u ˈ t ʰ j u n
հայաստանցի	h ɑ j ɑ s t ɑ n ˈ t ͡ s ʰ i
հայատյաց	h ɑ j ɑ ˈ t j ɑ t ͡ s ʰ
հայացի	h ɑ j ɑ ˈ t ͡ s ʰ i
հայացք	h ɑ ˈ j ɑ t ͡ s ʰ k ʰ
Հայաքաղաք	h ɑ j ɑ k ʰ ɑ ˈ ʁ ɑ k ʰ
Հայդարաբադ	h ɑ j d ɑ ɾ ɑ ˈ b ɑ d
Հայդելբերգ	h ɑ j d e l ˈ b e ɾ ɡ
Հայդոստյան	h ɑ j d o s ˈ t j ɑ n
հայդուկ	h ɑ j ˈ d u k
հայդուկական	h ɑ j d u k ɑ ˈ k ɑ n
հայել	h ɑ ˈ j e l
հայելի	h ɑ j e ˈ l i
հայեր	h ɑ ˈ j e ɾ
հայերեն	h ɑ j e ˈ ɾ e n
հայերենագիտություն	h ɑ j e ɾ e n ɑ ɡ i t u ˈ t ʰ j u n
հայեցակարգ	h ɑ j e t ͡ s ʰ ɑ ˈ k ɑ ɾ k ʰ
հայեցի	h ɑ j e ˈ t ͡ s ʰ i
հայեցված	h ɑ j e t ͡ s ʰ ˈ v ɑ t ͡ s
հայթայթանք	h ɑ j t ʰ ɑ j ˈ t ʰ ɑ n k ʰ
հայթայթել	h ɑ j t ʰ ɑ j ˈ t ʰ e l
Հայիթի	h ɑ ˈ j i t ʰ i
հայիլ	h ɑ ˈ j i l
հայլի	h ɑ j ˈ l i
Հայկ	h ɑ j k
հայկազն	h ɑ j ˈ k ɑ z ə n
Հայկազն	h ɑ j ˈ k ɑ z ə n
հայկազուն	h ɑ j k ɑ ˈ z u n
Հայկազունի	h ɑ j k ɑ z u ˈ n i
հայկական	h ɑ j k ɑ ˈ k ɑ n
Հայկական լեռնաշխարհ	h ɑ j k ɑ ˈ k ɑ n   l e r n ɑ ʃ ˈ χ ɑ ɾ
Հայկական Սովետական Սոցիալիստական Հանրապետություն	h ɑ j k ɑ ˈ k ɑ n   s o v e t ɑ ˈ k ɑ n   s o t ͡ s ʰ i ɑ l i s t ɑ ˈ k ɑ n   h ɑ n ɾ ɑ p e t u ˈ t ʰ j u n
Հայկական ՍՍՀ	h ɑ j k ɑ ˈ k ɑ n   s ə s ə ˈ h ə
հայկականություն	h ɑ j k ɑ k ɑ n u ˈ t ʰ j u n
հայկյան	h ɑ j ˈ k j ɑ n
հայհոյանք	h ɑ j h o ˈ j ɑ n k ʰ
հայհոյել	h ɑ j h o ˈ j e l
Հայնե	ˈ h ɑ j n e
Հայնրիխ	h ɑ j n ˈ ɾ i χ
հայորդի	h ɑ j o ɾ ˈ t ʰ i
հայոց	h ɑ ˈ j o t ͡ s ʰ
հայվան	h ɑ j ˈ v ɑ n
հայտ	h ɑ j t
հայտանիշ	h ɑ j t ɑ ˈ n i ʃ
հայտարար	h ɑ j t ɑ ˈ ɾ ɑ ɾ
հայտարարել	h ɑ j t ɑ ɾ ɑ ˈ ɾ e l
հայտարարվել	h ɑ j t ɑ ɾ ɑ ɾ ˈ v e l
հայտարարություն	h ɑ j t ɑ ɾ ɑ ɾ u ˈ t ʰ j u n
հայտարարում	h ɑ j t ɑ ɾ ɑ ˈ ɾ u m
հայտնաբերել	h ɑ j t n ɑ b e ˈ ɾ e l
հայտնագործություն	h ɑ j t n ɑ ɡ o ɾ t ͡ s u ˈ t ʰ j u n
հայտնապես	h ɑ j t n ɑ ˈ p e s
հայտնել	h ɑ j t ˈ n e l
հայտնի	h ɑ j t ˈ n i
Հայտոսթյան	h ɑ j t o s ˈ t ʰ j ɑ n
հայր	h ɑ j ɾ
հայրական	h ɑ j ɾ ɑ ˈ k ɑ n
հայրանուն	h ɑ j ɾ ɑ ˈ n u n
Հայրապետ	h ɑ j ɾ ɑ ˈ p e t
Հայրապետյան	h ɑ j ɾ ɑ p e ˈ t j ɑ n
հայրասպան	h ɑ j ɾ ɑ s ˈ p ɑ n
հայրատ	h ɑ j ˈ ɾ ɑ t
հայրեն	h ɑ j ˈ ɾ e n
Հայրենական մեծ պատերազմ	h ɑ j ɾ e n ɑ ˈ k ɑ n   m e t ͡ s   p ɑ t e ˈ ɾ ɑ z m
հայրենակից	h ɑ j ɾ e n ɑ ˈ k i t ͡ s ʰ
